id,title,description
141824,Luật 29/2018/QH14,Luật Bảo vệ bí mật nhà nước
130821,Luật 28/2018/QH14,"sửa đổi, bổ sung một số điều của 11 luật có liên quan đến quy hoạch"
133032,Luật 27/2018/QH14,Đo đạc và bản đồ
133028,Luật 26/2018/QH14,"Sửa đổi, bổ sung một số điều của Luật Thể dục, thể thao"
132957,Luật 24/2018/QH14,An ninh mạng
133401,Luật 23/2018/QH14,Cạnh tranh
132955,Luật 22/2018/QH14,Quốc phòng
131014,Luật 21/2017/QH14,quy hoạch
128203,Luật 19/2017/QH14,"Luật sửa đổi, bổ sung một số điều của Luật Cơ quan đại diện nước Cộng hòa xã hội chủ nghĩa Việt Nam ở nước ngoài."
126307,Luật 18/2017/QH14,Luật Thủy sản
126820,Luật 17/2017/QH14,"Luật sửa đổi, bổ sung một số điều của Luật các tổ chức tín dụng"
126306,Luật 16/2017/QH14,Luật Lâm nghiệp
124150,Luật 14/2017/QH14,"Quản lý, sử dụng vũ khí, vật liệu nổ và công cụ hỗ trợ"
122863,Luật 10/2017/QH14,Trách nhiệm bồi thường của nhà nước
129350,Luật 09/2017/QH14,Du lịch
126723,Luật 08/2017/QH14,Luật Thủy lợi
126171,Luật 06/2017/QH14,Đường sắt
128706,Luật 04/2017/QH14,hỗ trợ doanh nghiệp nhỏ và vừa
121748,Luật 01/2016/QH14,Đấu giá tài sản
101873,Luật 104/2016/QH13,Tiếp cận thông tin
101897,Luật 107/2016/QH13,"Thuế xuất khẩu, thuế nhập khẩu"
121546,Luật 03/2016/QH14,"Sửa đổi, bổ sung Điều 6 và Phụ lục 4 về Danh mục ngành, nghề đầu tư kinh doanh có điều kiện của Luật đầu tư"
96118,Luật 96/2015/QH13,Trưng cầu ý dân
96116,Luật 94/2015/QH13,"Thi hành tạm giữ, tạm giam"
95927,Luật 89/2015/QH13,Thống kê
96020,Luật 90/2015/QH13,Khí tượng thủy văn
95924,Luật 88/2015/QH13,Kế toán
95908,Luật 86/2015/QH13,An toàn thông tin mạng
70812,Luật 85/2015/QH13,Bầu cử đại biểu Quốc hội và đại biểu Hội đồng nhân dân
70804,Luật 82/2015/QH13,"Tài nguyên, môi trường biển và hải đảo"
70807,Luật 83/2015/QH13,Ngân sách nhà nước
70811,Luật 84/2015/QH13,"An toàn, vệ sinh lao động"
70801,Luật 81/2015/QH13,Kiểm toán nhà nước
70821,Luật 76/2015/QH13,Tổ chức Chính phủ
70819,Luật 77/2015/QH13,Tổ chức chính quyền địa phương
70803,Luật 79/2015/QH13,Thú y
70822,Luật 75/2015/QH13,Mặt trận Tổ quốc Việt Nam
46814,Luật 72/2014/QH13,"Sửa đổi, bổ sung một số điều của Luật Sĩ quan Quân đội nhân dân Việt Nam"
46822,Luật 74/2014/QH13,Giáo dục nghề nghiệp
46817,Luật 73/2014/QH13,Công an nhân dân
46751,Luật 68/2014/QH13,Doanh nghiệp
46790,Luật 69/2014/QH13,"Quản lý, sử dụng vốn nhà nước đầu tư vào sản xuất, kinh doanh tại doanh nghiệp"
40742,Luật 71/2014/QH13,"Sửa đổi, bổ sung một số điều của các luật về thuế"
46750,Luật 67/2014/QH13,Đầu tư
46742,Luật 65/2014/QH13,Nhà ở
46749,Luật 66/2014/QH13,Kinh doanh bất động sản
43951,Luật 63/2014/QH13,Tổ chức Viện kiểm sát nhân dân
44169,Luật 62/2014/QH13,Tổ chức Tòa án nhân dân
46747,Luật 61/2014/QH13,"Sửa đổi, bổ sung một số điều của Luật Hàng không dân dụng Việt Nam"
44168,Luật 57/2014/QH13,Tổ chức Quốc hội
46744,Luật 58/2014/QH13,Bảo hiểm xã hội
46743,Luật 59/2014/QH13,Căn cước công dân
46746,Luật 60/2014/QH13,Hộ tịch
36884,Luật 55/2014/QH13,Bảo vệ môi trường
36878,Luật 54/2014/QH13,LUẬT HẢI QUAN
36877,Luật 53/2014/QH13,Công chứng
36865,Luật 49/2014/QH13,Đầu tư công
36867,Luật 50/2014/QH13,Xây dựng
36823,Luật 47/2014/QH13,"Nhập cảnh, xuất cảnh, quá cảnh, cư trú của người nước ngoài tại Việt Nam"
36793,Luật 46/2014/QH13,"Sửa đổi, bổ sung một số điều của Luật Bảo hiểm y tế"
32833,Luật 45/2013/QH13,Đất đai
32905,Luật 44/2013/QH13,"Thực hành tiết kiệm, chống lãng phí"
32842,Luật 43/2013/QH13,Đấu thầu
32909,Luật 41/2013/QH13,Bảo vệ và kiểm dịch thực vật
32912,Luật 38/2013/QH13,Việc làm
32513,Luật 37/2013/QH13,"Sửa đổi, bổ sung Điều 170 của Luật Doanh nghiệp"
30614,Luật 31/2013/QH13,"Sửa đổi, bổ sung một số điều của Luật Thuế giá trị gia tăng số 13/2008/QH12"
30615,Luật 32/2013/QH13,"Sửa đổi, bổ sung một số điều của Luật Thuế thu nhập doanh nghiệp"
32521,Luật 30/2013/QH13,Giáo dục quốc phòng và an ninh
32516,Luật 33/2013/QH13,"Phòng, chống thiên tai"
32522,Luật 29/2013/QH13,Khoa học và công nghệ
32495,Luật 28/2013/QH13,"Phòng, chống khủng bố"
